Time,Sensor1,Sensor2,Sensor3
71200242,-0.3148375153541565,2.3953988552093506,8.738836288452148
71000133,0.040701430290937424,2.2828712463378906,8.040925979614258
70800156,-0.29568392038345337,1.9405004978179932,9.157821655273438
70600138,-0.04908113554120064,2.2373814582824707,9.406818389892578
70400141,0.0802057534456253,2.7940332889556885,9.555258750915527
70200116,0.1280897855758667,2.5929205417633057,9.986215591430664
70000128,-0.0347159244120121,2.495955228805542,10.257957458496094
69800019,0.23343466222286224,2.4361002445220947,10.226832389831543
69600043,0.13407529890537262,2.2577321529388428,9.703699111938477
69400055,0.3064578175544739,2.097320795059204,10.390835762023926
69200206,0.07781155407428741,1.8495208024978638,10.073603630065918
69000268,0.5793967843055725,2.079364061355591,9.475052833557129
68800373,-0.2777273952960968,2.5330653190612793,9.883264541625977
68600273,-0.05147533491253853,2.717418909072876,8.38449478149414
68400420,-0.1951274424791336,2.9077579975128174,9.586383819580078
68200108,-0.10295066982507706,2.5115175247192383,10.631452560424805
68000185,-0.15442600846290588,2.9281086921691895,9.568427085876465
67800203,-0.23104046285152435,2.802412986755371,9.284713745117188
67600150,-0.2106897532939911,2.7928361892700195,9.497797966003418
67400123,0.11851298063993454,2.3499090671539307,8.87171459197998
67200128,-0.040701430290937424,2.278082847595215,8.828619003295898
67000223,0.040701430290937424,2.536656618118286,8.900444984436035
66800121,0.12090718746185303,2.248155355453491,8.700529098510742
66600053,0.09457096457481384,2.2182278633117676,9.307458877563477
66400158,0.18076223134994507,2.299630641937256,9.040505409240723
66200440,0.16759411990642548,2.5546131134033203,9.569623947143555
66000232,0.25737667083740234,2.7664999961853027,10.449493408203125
65800234,0.0586579404771328,2.8443117141723633,10.594342231750488
65600246,0.1628057211637497,2.9161376953125,10.551246643066406
65400210,0.3447650372982025,3.0813376903533936,10.714052200317383
65200227,0.035913024097681046,3.2297780513763428,10.4542818069458
65000112,0.24779987335205078,3.2393548488616943,10.81700325012207
64800279,-0.07661445438861847,3.005920171737671,9.785101890563965
64600275,-0.08978256583213806,2.695871114730835,9.155426979064941
64400329,-0.1388636976480484,2.8203697204589844,9.800664901733398
64200192,0.19033902883529663,2.1930887699127197,10.664971351623535
64000048,-0.15801730751991272,2.650381326675415,9.307458877563477
63800204,-0.026336219161748886,2.7114334106445313,9.036913871765137
63600319,-0.21428105235099792,2.823961019515991,9.488221168518066
63400270,0.1364694982767105,2.6240451335906982,9.282320022583008
63200221,-0.4429273009300232,2.649184226989746,8.777143478393555
63000219,0.2298433631658554,2.539050817489624,8.51138687133789
62800224,-0.33039984107017517,2.346317768096924,8.099584579467773
62600226,0.21428105235099792,2.4241292476654053,7.982268333435059
62400164,-0.2406172752380371,2.2194249629974365,8.121131896972656
62200242,0.13407529890537262,2.27209734916687,8.604761123657227
62000220,-0.28730419278144836,2.519897222518921,8.948328971862793
61800110,0.16759411990642548,2.7042508125305176,9.046490669250488
61600155,-0.1280897855758667,2.7234044075012207,9.386467933654785
61400208,0.17836803197860718,2.52109432220459,9.876082420349121
61200042,0.05147533491253853,2.630030632019043,8.835801124572754
61000151,-0.061052143573760986,3.1459810733795166,10.103530883789063
